article_ID,pub_order,citation,DOI,title,author 1,author 2,author 3,author 4,author 5,author 6,author 7,author 8,author 9,author 10,author 11,author 12,author 13,author 14,journal_name,vol,num,pages,year,country_1,country_2,country_3,country_4,country_5,country_6,n_isolates,Fasi,Fboo,Fcor,Fgra,Fmer,Fnep,Fvor,Fasi_DON,Fasi_3ADON,Fasi_15ADON,Fasi_NIV,Fboo_DON,Fboo_15ADON,Fcor_15ADON,Fcor_NIV,Fgra_DON,Fgra_3ADON,Fgra_15ADON,Fgra_FUSX,Fgra_NIV,Fgra_ZEA,Fmer_DON,Fmer_NIV,Fnep_DON,Fvor_DON,Fvor_NIV,Fvor_4ANIV,country_1a,country_2a,host_1,host_2,host_3,host_4,obs
1,Yes,O'Donnell et al. 2000,10.1073ypnas.130193297,"Gene genealogies reveal global phylogeographic structure and reproductive isolation among lineages of Fusarium graminearum, the fungus causing wheat scab",O'Donnell K,Kistler HC,Tacke BK,Casper HH,,,,,,,,,,,Proceedings of the National Academy of Sciences,97,14,7905â€“7910,2000,United States,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Yes,O'Donnell et al. 2004,10.1016/j.fgb.2004.03.003,Genealogical concordance between the mating type locus and seven other nuclear genes supports formal recognition of nine phylogenetically distinct species within the Fusarium graminearum clade,O'Donnell K,Ward TJ,Geiser DM,Kistler HC,Aoki T,,,,,,,,,,Fungal Genetics and Biology,41,6,600â€“623,2004,United States,Japan,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yes,Gale et al. 2007,10.1094/PHYTO-97-11-1434,Population subdivision of Fusarium graminearum sensu stricto in the upper Midwestern United States,Gale LR,Ward TJ,Balmas V,Kistler HC,,,,,,,,,,,Phytopathology,97,11,1434â€“1439,2007,United States,Italy,,,,,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Yes,RamÃ_rez et al. 2007,10.1080/02652030701546487,Population genetic structure of Gibberella zeae isolated from wheat in Argentina,Ramirez ML,Reynoso MM,Farnochi MC,Torres AM,Leslie JF,Chulze SN,,,,,,,,,Food Additives and Contaminants,24,10,1115â€“1120,2007,Argentina,United States,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Yes,Starkey et al. 2007,10.1016/j.fgb.2007.03.001,Global molecular surveillance reveals novel Fusarium head blight species and trichothecene toxin diversity,Starkey DE,Ward TJ,Aoki T,Gale LR,Kistler HC,Geiser DM,Suga H,TÃ_th B,Varga J,O'Donnell K,,,,,Fungal Genetics and Biology,44,11,1191â€“1204,2007,United States,Japan,Hungary,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yes,O'Donnell et al. 2008,10.1016/j.fgb.2008.09.002,Multilocus genotyping and molecular phylogenetics resolve a novel head blight pathogen within the Fusarium graminearum species complex from Ethiopia,O'Donnell K,Ward TJ,Aberra D,Kistler HC,Aoki T,Orwig N,Kimura M,BjÃ¸rnstad Ã…,Klemsdal SS,,,,,,Fungal Genetics and Biology,45,11,1514â€“1522,2008,United States,Norway,Japan,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Yes,Suga et al. 2008,10.1094/ PHYTO-98-2-0159,Molecular characterization of the Fusarium graminearum species complex in Japan,H. Suga,Karugia GW,Ward TJ,Gale LR,Tomimura K,Nakajima T,Miyasaka A,Koizumi S,Kageyama K,Hyakumachi M,,,,,Phytopathology,98,2,159â€“166,2008,Japan,United States,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yes,Ward et al. 2008,10.1016/j.fgb.2007.10.003,An adaptive evolutionary shift in Fusarium head blight pathogen populations is driving the rapid spread of more toxigenic Fusarium graminearum in North America,Ward TJ,Clear RM,Rooney AP,O'Donnell K,Gaba D,Patrick S,Starkey DE,Gilbert J,Geiser DM,Nowicki TW,,,,,Fungal Genetics and Biology,45,4,473â€“484,2008,United States,Canada,,,,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Yes,Scoz et al. 2009,10.1111/j.1365-3059.2008.01949.x,Trichothecene mycotoxin genotypes of Fusarium graminearum sensu stricto and Fusarium meridionale in wheat from southern Brazil,Scoz LB,Astolfi P,Reartes DS,Schmale III DG,Moraes MG,Del Ponte EM,,,,,,,,,Plant Pathology,58,2,344â€“351,2009,Brazil,United States,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Yes,Yli-Mattila et al. 2009,10.3852/08-217,A novel Asian clade within the Fusarium graminearum species complex includes a newly discovered cereal head blight pathogen from the Russian Far East,Yli-Mattila T,Gagkaeva T,Ward TJ,Aoki T,Kistler HC,O'Donnell K,,,,,,,,,Mycologia,101,6,841â€“852,2009,Finland,Russia,United States,Japan,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
